Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2023-07-06,Inviting Singaporean Researchers who have Received Prestigious Awards Abroad to Return to Work in Research Institutions Here,014-002-095-108-008,The Minister of State for Education (Ms Gan Siow Huang) (for the Minister for Education),"Overseas Singaporeans, including researchers, can also link up with the Singapore Global Network (SGN) within the Economic Development Board (EDB). SGN organises digital engagement and community events to keep overseas Singaporeans connected to home, so that they can make an informed decision about whether and when to return to Singapore.",4,5,014-002-095-108-008-005,213
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,Ms Carrie Tan,"asked the Minister for Manpower (a) whether the Ministry will review the current migrant domestic worker hiring policies and rules to allow for more diverse care arrangements of the elderly such as those in the private co-living care format; and (b) what are the Ministry's concerns and constraints preventing more flexibility in such employment rules, and what are the statistics or data that give rise to these concerns.",1,1,014-002-095-108-009-001,214
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,The Minister of State for Manpower (Ms Gan Siow Huang) (for the Minister for Manpower),"  Mdm Deputy Speaker, the migrant domestic worker (MDW) scheme was introduced to support families in their domestic and caregiving needs. Employment protection policies designed for MDWs are premised on the MDW providing only non-commercial domestic services to her employer's household at the employer's place of residence. To take into account the flexibility around work hours and rest patterns that may be needed for their nature of work, MDWs are not covered by the Employment Act.",1,2,014-002-095-108-009-002,215
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,The Minister of State for Manpower (Ms Gan Siow Huang) (for the Minister for Manpower),"MDWs are instead protected under the Employment of Foreign Manpower Act (EFMA). To protect the well-being of MDWs, the scope of domestic work and the employment of MDWs are tightly circumscribed under the EFMA.",2,3,014-002-095-108-009-003,216
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,The Minister of State for Manpower (Ms Gan Siow Huang) (for the Minister for Manpower),"The well-being of the MDWs and the conditions of their engagement are important priorities for the Ministry of Manpower (MOM). An employer has obligations under the EFMA in ensuring the safety and well-being of the MDW, providing adequate food and rest time, paying the salary on time and covering the MDW's medical expenses. The balancing of flexibilities in employment rules for the care of the elderly should not result in the delegating of the primary responsibilities of the employer in the EFMA. For example, MOM cannot allow MDWs to be deployed in a business operation that could subject MDWs to overwork.",3,4,014-002-095-108-009-004,217
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,The Minister of State for Manpower (Ms Gan Siow Huang) (for the Minister for Manpower),"The Government recognises the diverse needs of elderly and their caregivers and has introduced a wide range of eldercare services to support households. This includes home personal and nursing care, day care and community rehabilitation services. The Ministry of National Development (MND), Ministry of Health (MOH) and Housing and Development Board (HDB) are also piloting assisted living in the Community Care Apartments, which integrates senior-friendly design features with services that can be scaled according to the care needs. There are also a number of private assisted living models for seniors to age in the community. These options complement MDW- and family caregiving.",4,5,014-002-095-108-009-005,218
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,The Minister of State for Manpower (Ms Gan Siow Huang) (for the Minister for Manpower),The Ministry of Manpower (MOM) has been and will continue to work closely with MOH and industry partners to explore new and holistic caregiving models to better support eldercare needs.,5,6,014-002-095-108-009-006,219
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,Mdm Deputy Speaker,  Ms Carrie Tan.,1,7,014-002-095-108-009-007,220
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,Ms Carrie Tan (Nee Soon),"  Mdm Deputy Speaker, I thank the Minister of State for her comprehensive response to help us understand that there were indeed some workings within how this business was operating that could have been quite exploitative of the people they purport to care for and care workers.",1,8,014-002-095-108-009-008,221
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,Ms Carrie Tan (Nee Soon),"Despite that, is MOM open to looking at new regulatory frameworks and provisions for different kinds of employment models such that the gap that the residents and citizens currently face in elderly care options can be plugged in a way that ensures business costs and the cost to consumers, and all that, are made accessible and viable?",2,9,014-002-095-108-009-009,222
2023-07-06,Review Policies for Hiring of Migrant Workers to Allow for Diverse Care Arrangements such as Private Co-Living Care Format,014-002-095-108-009,Ms Gan Siow Huang,"  The short answer is yes. In fact, MOM is working with MOH to develop new care models for the elderly. We recognise that there are evolving needs and that there are opportunities for us to work with private partners to develop new models.",1,10,014-002-095-108-009-010,223
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Louis Ng Kok Kwang,"asked the Minister for Social and Family Development (a) whether the Ministry has studied the importance of economic connectedness through cross-class interaction between families of low and high socio-economic status, in uplifting children from lower income families; and (b) what specific changes in policies have been adopted to take into account such economic connectedness.",1,1,014-002-095-108-010-001,224
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"  Mdm Deputy Speaker, social mobility has been a key long-term outcome in the Government’s programme to address inequality since Independence. As more in our society progress, the Government endeavours for society to continue progressing together.",1,2,014-002-095-108-010-002,225
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"Various studies, including the ones cited by the Member in a past Parliamentary Question (PQ), suggest that “economic connectedness” supports social mobility. In our public policy design, we also consider how best to promote social interaction, including between different income groups of our society.",2,3,014-002-095-108-010-003,226
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"In our residential estates, we have actively sought to foster a good mix of socio-economic groups. We provide common spaces where Singaporeans from all walks of life congregate, such as parks, hawker centres, playgrounds and sporting facilities. We have actively integrated public rental flats with sold flats in the same Build-To-Order (BTO) projects and within the same blocks where possible, including in Prime Location Housing areas, to enable social mixing.",3,4,014-002-095-108-010-004,227
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"We work to ensure that our schools remain open and accessible to students from different backgrounds. In addition, there are opportunities for students from different schools to interact with one another and with the larger community, such as through co-curricular activities (CCAs), values-in-action projects, and cluster-based activities and competitions.",4,5,014-002-095-108-010-005,228
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),We have also sought to increase the social capital of those from lower-income backgrounds through volunteering and mentoring opportunities.,5,6,014-002-095-108-010-006,229
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"Many community partners and volunteers from diverse backgrounds provide services and programmes to lower-income families under our ""Many Helping Hands"" approach. Through Community Link, or ComLink, volunteers are matched to families as befrienders to better understand the families’ needs and aspirations, co-create individualised action plans with them, and match them to relevant schemes, services, and programmes.",6,7,014-002-095-108-010-007,230
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"More recently, we launched Mentoring SG, a national movement to support youth development through mentoring opportunities. Youths, including those from lower-income backgrounds, can be connected to mentors to build their tenacity, soft skills and knowledge. The close bonds fostered allow for useful information and opportunities to be shared with youths and families.",7,8,014-002-095-108-010-008,231
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"With targeted programming, connections across socioeconomic backgrounds offer information exchange, mentorship and job referrals that could shape aspirations and expand opportunities for material improvement.",8,9,014-002-095-108-010-009,232
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"While the Government can shape diverse environments and channels for interactions between different socio-economic groups, all of us must play our part to reach across the lines of status and class. In particular, those who are more privileged and better-connected should realise that their success in life is also because of the kind of society we have built over time. So, we hope they will always step forward to contribute their time, networks and effort to uplift those with less. We need a whole-of-society effort to help lower-income families as they work towards stability, self-reliance and social mobility.",9,10,014-002-095-108-010-010,233
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mdm Deputy Speaker,  Mr Louis Ng.,1,11,014-002-095-108-010-011,234
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Louis Ng Kok Kwang (Nee Soon),"  Thank you, Madam, and I thank the Senior Parliamentary Secretary for the reply. I think he mentioned there is some peer-to-peer social mixing in CCAs and then, peer-to-mentor social mixing in some of the programmes through ComLink.",1,12,014-002-095-108-010-012,235
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Louis Ng Kok Kwang (Nee Soon),"Could I ask whether the Ministry of Social and Family Development (MSF) is rolling out new programmes that will have peer-to-peer social mixing within the community? So, making friends with the same age group and not just the peer-to-mentor.",2,13,014-002-095-108-010-013,236
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Louis Ng Kok Kwang (Nee Soon),"Secondly, I think the study that we are talking about was done in the US, where it showed that economic connectedness – or basically, social mixing – is probably the most important factor, more than family structure, school or job availability. Could I ask whether MSF can conduct a similar study in Singapore to see whether it holds true that social mixing is the most important factor so that we can tailor our programmes and have a more targeted impact on the ground?",3,14,014-002-095-108-010-014,237
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Eric Chua,"  Mdm Deputy Speaker, I thank the Member for supplementary questions. His points are well-noted. In today's programmes – not within the ambit of MSF but me wearing my Ministry of Culture, Community and Youth (MCCY) hat – we do have programmes where peer-to-peer interaction across different socio-economic groups are already taking place. For instance, under Sport Singapore (SportSG), there is SportCares, which reaches out to youths from low-income families through sports. Young talents who are good with their fundamental movement skills are recruited and scouted for their abilities at sports and then, placed in Junior Sports Academy or centres where talents from across different socio-economic groups are placed together. That is where the interaction across socio-economic groups already take place.",1,15,014-002-095-108-010-015,238
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Eric Chua,I cite this as one of many other examples across the different agencies' programmes and services that we provide.,2,16,014-002-095-108-010-016,239
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Eric Chua,"I do note the Member's suggestion to replicate some of these studies in our context here in Singapore. I will take that back to the Ministry but I do want to put forth a note that we might not want to replicate every study that is out there, because that would not be judicious use of our resources.",3,17,014-002-095-108-010-017,240
2023-07-06,Economic Connectedness through Interaction between Families of Low and High Socio-economic Status,014-002-095-108-010,Mr Eric Chua,"I also want to draw some reference from the study which points to a finding such as the stickiness with respect to how members of each socio-economic status group having a resistance to mix with members from a different socio-economic status group. A finding such as this is somewhat confirmatory of what we know intuitively – we do not really need additional research in order to confirm or conclude as such. But I do note the Member's suggestion for such studies to be conducted in the local context, so that it can better appreciate the nuances or the different nuances.",4,18,014-002-095-108-010-018,241
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,Mr Leon Perera,asked the Minister for Home Affairs (a) what is the progress of Traffic Police’s planning on the initiative to require speed-management devices on lorries that are used to ferry migrant workers; and (b) what is the expected timeline for the adoption of such devices on all such lorries.,1,1,014-002-095-108-011-001,242
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,The Minister of State for Home Affairs (Assoc Prof Dr Muhammad Faishal Ibrahim) (for the Minister for Home Affairs),"  In March 2022, we announced that the Government would mandate lorries with Maximum Laden Weight between 3,500 kilogrammes and 12,000 kilogrammes to be fitted with speed management devices or speed limiters.",1,2,014-002-095-108-011-002,243
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,The Minister of State for Home Affairs (Assoc Prof Dr Muhammad Faishal Ibrahim) (for the Minister for Home Affairs),The Traffic Police has since been working with industry stakeholders to evaluate the different types of speed limiter and to develop the implementation plan.,2,3,014-002-095-108-011-003,244
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,The Minister of State for Home Affairs (Assoc Prof Dr Muhammad Faishal Ibrahim) (for the Minister for Home Affairs),"Industry stakeholders have given feedback that they would require some time to re-configure their products to meet our requirements and conduct technical tests to ensure safety and roadworthiness. The industry will also need time to ramp up the supply, and to ensure that there are sufficient authorised agents to install these devices. We aim to announce the details later this year.",3,4,014-002-095-108-011-004,245
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,Mdm Deputy Speaker,  Mr Leon Perera.,1,5,014-002-095-108-011-005,246
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,Mr Leon Perera (Aljunied),"  I thank the Minister of State for his answer. My supplementary question would be that I believe the earlier timeline that had been announced, if I am not wrong, was the first half of this year. Given that there is a safety issue here at stake, would the Minister of State be able to commit to a timeline for the adoption of these speed limiters, going forward? I hope that it would be a short timeline, given that we have worked on it for quite some time now.",1,6,014-002-095-108-011-006,247
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,Assoc Prof Dr Muhammad Faishal Ibrahim,"  Madam, I thank the Member for the supplementary question. As I shared earlier, we have been actively engaging the industry. As you can see, it is a wide range of fleets of lorries, from the older ones to the newer ones. One thing is that we are grateful that the industry players have come forward to share with us frankly and they also shared with us some of the supply chain constraints that the world is facing today.",1,7,014-002-095-108-011-007,248
2023-07-06,Progress of Initiative to Install Speed-management Devices on Lorries that Ferry Migrant Workers,014-002-095-108-011,Assoc Prof Dr Muhammad Faishal Ibrahim,"On our part, we are doing our best to work with them to make sure that what we do and finally roll out will have considerations with regard to the costs, availability, effectiveness and the installation process. I assure the Member that we will do our best in a timely manner.",2,8,014-002-095-108-011-008,249
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Ms Nadia Ahmad Samdin,asked the Minister for National Development (a) what procedures and safeguards are being put in place before Temporary Occupation Licences are granted over sea spaces; and (b) what is the long-term plan for the governance and planning of sea spaces by URA.,1,1,014-002-095-108-012-001,250
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,The Senior Minister of State for National Development (Mr Tan Kiat How) (for the Minister for National Development),"  Mdm Deputy Speaker, under the Foreshores Act, the Singapore Land Authority (SLA) may grant Temporary Occupation Licences (TOL) for the temporary occupation of the foreshore and seabed in Singapore for any period not exceeding one year.",1,2,014-002-095-108-012-002,251
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,The Senior Minister of State for National Development (Mr Tan Kiat How) (for the Minister for National Development),"If there are development works intended in the TOL area, the applicant will need to carry out in-depth consultation with agencies, such as the National Parks Board (NParks), National Environmental Agency (NEA), Maritime and Port Authority of Singapore (MPA) and Singapore Food Agency (SFA). Through the consultation, agencies will consider the impact of the development, determine if an environmental study needs to be conducted and require the necessary mitigation measures to be put in place. SLA will only issue the TOL after the necessary clearances from the technical agencies and the Urban Redevelopment Authority (URA) have been obtained.",2,3,014-002-095-108-012-003,252
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,The Senior Minister of State for National Development (Mr Tan Kiat How) (for the Minister for National Development),"As part of the planning process, URA works closely with agencies to coordinate our plans in our sea spaces, such as through the Long-Term Plan Review. In the long term, most of the sea space within our port limits will continue to be used by the maritime industry and for port activities, which are important enablers of our economy.",3,4,014-002-095-108-012-004,253
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,The Senior Minister of State for National Development (Mr Tan Kiat How) (for the Minister for National Development),"URA will continue to work with MPA and other relevant agencies, such as NParks, SFA and SportSG, to plan for other important uses and activities within our sea space such as aquaculture, industries, utilities and recreation, and ensure that these uses are carried out in an environmentally sensitive manner to minimise any impact on the marine ecosystem and biodiversity.",4,5,014-002-095-108-012-005,254
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,The Senior Minister of State for National Development (Mr Tan Kiat How) (for the Minister for National Development),"During the Adjournment Motion on protecting our marine spaces and Southern Islands earlier this year, the Minister for National Development also shared how agencies coordinate our plans from planning to implementation and engage nature groups and other stakeholders, so their inputs can be considered. URA, MPA and the relevant agencies will continue to engage the community on plans for our sea spaces.",5,6,014-002-095-108-012-006,255
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Mdm Deputy Speaker,"  Ms Nadia Samdin, I will allow a supplementary question, but please make it brief.",1,7,014-002-095-108-012-007,256
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Ms Nadia Ahmad Samdin (Ang Mo Kio),"  Thank you very much, Deputy Speaker. I thank the Ministry for the efforts in blue conservation. I understand that environmental impact assessments (EIAs) will only be conducted if the technical agencies consider that the impact may be significant. Could the Senior Minister of State please elaborate on what is the threshold of impact or some of criteria that is considered significant? And what is the required frequency of ongoing environmental monitoring which is in place for such sea spaces?",1,8,014-002-095-108-012-008,257
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Mr Tan Kiat How,"  Madam, the broad strategies for the use of sea space can be found in the Long-Term Plan Review. The specific use will be guided by more detailed plans worked out by the respective agencies, with URA and those plans will have to consider the environment impact. And as shared by the Member Ms Nadia Samdin, we are guided by ecological profile exercise, which is an ongoing, iterative effort to look at the impact on the environment, the marine ecosystem, biodiversity. In fact, we just completed a major one for the marine and sea spaces. It is a continual process.",1,9,014-002-095-108-012-009,258
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Mr Tan Kiat How,"For example, the ecological profiling exercise (EPE), from when we last completed it, had given us inputs for the Long-Term Plan Review. Those assessment will guide the agencies in the use of sea space.",2,10,014-002-095-108-012-010,259
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Mr Tan Kiat How,"Earlier in the session, we had a discussion on the use of sea spaces for aquaculture and fish farming – where the Senior Minister of State Koh Poh Koon had given answers to Ms Nadia Samdin and Mr Louis Ng. So, this is a real-life example of how we use the EPE and how the agencies use the EPE to guide some of the environmental impact assessments for the use of those spaces. So, it will be case-by-case, for the specific use.",3,11,014-002-095-108-012-011,260
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,,None,1,12,014-002-095-108-012-012,261
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Mdm Deputy Speaker,  Order. End of Question Time. The Clerk will now proceed to read the Notice of Motion.,1,13,014-002-095-108-012-013,262
2023-07-06, Approach to Governance and Planning of Sea Spaces,014-002-095-108-012,Mdm Deputy Speaker,"[Pursuant to Standing Order No 22(3), provided that Members had not asked for questions standing in their names to be postponed to a later Sitting day or withdrawn, written answers to questions not reached by the end of Question Time are reproduced in the Appendix.]",2,14,014-002-095-108-012-014,263
2023-07-06,Sporting Success,014-002-095-108-013,Mdm Deputy Speaker,  Assoc Prof Jamus Lim.,1,1,014-002-095-108-013-001,264
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"  Madam, I beg to move*, ""That this House celebrates the accomplishments of our athletes and para-athletes at the 32nd Southeast Asian Games and the 12th ASEAN Para Games in Cambodia, and calls on the Government to undertake a thorough evaluation of the areas of improvement in Singapore's sporting ecosystem, and commit to rsealising clear, achievable goals for sporting success over the coming decade.""",1,2,014-002-095-108-013-002,265
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),[(proc text) *The Motion also stood in the name of Mr Muhamad Faisal Abdul Manap. (proc text)],2,3,014-002-095-108-013-003,266
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"In November last year, I attended a concert by a band I loved as a teenager – Guns N' Roses. Besides reliving part of my formative years, among thousands of other middle-aged fans doing the same, I got a chance to see ageing rockers put on a spectacular show.",3,4,014-002-095-108-013-004,267
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"More recently, my sister joined another 50,000 Singaporeans at the concert more aligned to her musical tastes – the Korean girl band, Blackpink.",4,5,014-002-095-108-013-005,268
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"Both concerts were held at a stunning venue – the modern National Stadium nestled in the Singapore Sports Hub, the facility and engineering marvel that can seat as many as 55,000 was meant to host, first and foremost, world-class sporting competitions and other community events. So, as much as both my sister and I enjoyed our outings, the shadow of the failed Sports Hub's public-private partnership (PPP) hung over the scene.",5,6,014-002-095-108-013-006,269
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"We were left to wonder the future of this crowning jewel of our local sporting scene, left to hosting concerts by foreign musical acts. After all, I am old enough to recall a time when the stadium hosted the Kallang Roar. It was a time when a deep sense of nationalism welled up as we supported, especially, the football team. My mother still relates a story of me falling off the bed as a baby after being startled by a roar following Quah Kim Song's winning goal in the 1977 Malaysia Cup final.",6,7,014-002-095-108-013-007,270
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"The stars of my time, Fandi Ahmad, V Sundramoorthy and David Lee united Singaporeans across ethnic lines in a way that top-down policies can only dream of inspiring.",7,8,014-002-095-108-013-008,271
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"But the Roar has fallen silent, as has the facility that was meant to revitalise local sports.",8,9,014-002-095-108-013-009,272
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"In today's Motion filed by myself and my fellow friend and sports fan, Faisal Manap from Aljunied Group Representation Constituency (GRC), we hope to provoke an earnest debate on the challenges faced by our national sportsmen and women, whether they represent the country at the highest levels or if they are young aspirants seeking a healthy outlet for their time and energy.",9,10,014-002-095-108-013-010,273
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"Mdm Deputy Speaker, as much as I love sports, my domain of expertise is in economics. Hence, my opening speech will focus on the economic challenges faced in bringing Singapore sport to the next level, using, in particular, the Sports Hub episode as a foil. Mr Faisal will tackle what he and the Workers' Party believe are the non-economic challenges, using the example of football – the closest that we have to a national sport to illustrate his points.",10,11,014-002-095-108-013-011,274
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"But we also hope that the discussion will go beyond just sports alone, because an eye to looking at our relative weaknesses on this front can offer insight into other areas of policy in Singapore, where we have been far less successful on the global stage despite our outpouring of blood and treasure to stoke greater success.",11,12,014-002-095-108-013-012,275
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"Let me begin, in the spirit of the Motion, by first congratulating our national athletes in the recently concluded 32nd Southeast Asian (SEA) Games and 12th ASEAN Para Games in Cambodia. Team Singapore fought hard and secured 157 medals in the SEA games and 44 in the Para Games. Every medal took sweat and tears and I ask this House to join me in the round of applause to all our athletes whether they medalled or not. [Applause.]",12,13,014-002-095-108-013-013,276
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"It is worth mentioning a few highlights. Sprint Queen Shanti Pereira set a new national record for the 200 metres on her way to a double gold for the 100 and 200 metres. We should not forget, however, that she did so amidst a continuing battle with the burden of injuries and the pressure of immensely high expectations.",13,14,014-002-095-108-013-014,277
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"Fencer Tay Yu Ling returned to the top of the podium in fencing after retiring in 2010, proving that even in sport, age can just be a number that should not limit the boldness of our dreams.",14,15,014-002-095-108-013-015,278
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"Runner Soh Rui Yong, who had been excluded in the 2021 Games, earned a silver medal in the 10,000 metres. During the event, Soh had offered Indonesian rival Rikki Simbolon a drink after the latter had missed his in a striking mark of sportsmanship.",15,16,014-002-095-108-013-016,279
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"Our para-athletes, despite the physical odds that they face, once again did us proud. They brought home 44 medals in total, with Colin and Sophie Soon contributing a fifth of the total haul.",16,17,014-002-095-108-013-017,280
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"As much as we celebrate the achievements of these athletes, we should also be aware of where we are fallen short. Let me be clear. This does not diminish their sporting accomplishments, but unless we can candidly look at the both the wins and losses, we cannot fully understand what we must do to get better.",17,18,014-002-095-108-013-018,281
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"After all, every successful sportsperson or team goes through the very same postmortem after a competition. We need to do the same here.",18,19,014-002-095-108-013-019,282
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"Our SEA and Para Games performance place us seventh among the 11 nations in total medal count for both. Given that we rank ninth in terms of population in the region, perhaps one could credibly argue that we outperformed our small size. But population is only one factor in determining cross country sports outcomes – and not even the most important one.",19,20,014-002-095-108-013-020,283
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"If anything, systematic analysis suggests that it is countries' income that is far more influential, whether in specific sports like soccer or across sports more generally. Indeed, some have even gone as far as to argue that the same socio-economic determinants, especially wealth and development, drive sporting success.",20,21,014-002-095-108-013-021,284
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"There is a simple reason why incomes matter. Richer countries are better able to channel significant public and private resources towards sporting achievements. Hence, it is unsurprising that the quality of supporting infrastructure matters too.",21,22,014-002-095-108-013-022,285
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"This is a prima facie reason why we might wish to promote infrastructure such as the Sports Hub as a catalyst to elevate local sport. It also underscores the need to prioritise soft infrastructure such as athlete support and coach development. In that regard, Singapore has unfortunately not only punched below our weight but has actually consistently gotten worse.",22,23,014-002-095-108-013-023,286
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim (Sengkang),"With your permission, Mdm Deputy Speaker, may I have the Clerks distribute a handout that illustrates this under-performance in vivid detail.",23,24,014-002-095-108-013-024,287
2023-07-06,Sporting Success,014-002-095-108-013,Mdm Deputy Speaker,  Please proceed. [,1,25,014-002-095-108-013-025,288
2023-07-06,Sporting Success,014-002-095-108-013,Assoc Prof Jamus Jerome Lim,  Thank you. Members may also access these materials through the MP@SGPARL Parliament app.,1,26,014-002-095-108-013-026,289
